
开始回测股票: 605300 - 佳禾食品
交易时间: 2025-02-24 11:07:00 | 类型: 买入 | 价格: 14.67 | 数量: 300 | 成交额: 4402.24 | 印花税: 0.00 | 佣金: 1.32 | 盈亏: 0.00
交易时间: 2025-02-24 14:01:00 | 类型: 买入 | 价格: 14.53 | 数量: 300 | 成交额: 4358.22 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-25 09:31:00 | 类型: 卖出 | 价格: 14.67 | 数量: 300 | 成交额: 4401.80 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.61
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 14.53 | 数量: 300 | 成交额: 4357.78 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-25 09:31:00 | 类型: 卖出 | 价格: 14.67 | 数量: 300 | 成交额: 4401.36 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.61
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 14.52 | 数量: 300 | 成交额: 4357.35 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-25 09:31:00 | 类型: 卖出 | 价格: 14.67 | 数量: 300 | 成交额: 4400.92 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.61
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 14.52 | 数量: 300 | 成交额: 4356.91 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-25 09:31:00 | 类型: 卖出 | 价格: 14.67 | 数量: 300 | 成交额: 4400.48 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.60
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 14.52 | 数量: 300 | 成交额: 4356.48 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-25 09:31:00 | 类型: 卖出 | 价格: 14.67 | 数量: 300 | 成交额: 4400.04 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.60
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 14.52 | 数量: 300 | 成交额: 4356.04 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-25 09:31:00 | 类型: 卖出 | 价格: 14.67 | 数量: 300 | 成交额: 4399.60 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.60
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 14.52 | 数量: 300 | 成交额: 4355.60 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-25 09:31:00 | 类型: 卖出 | 价格: 14.66 | 数量: 300 | 成交额: 4399.16 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.60
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 14.52 | 数量: 300 | 成交额: 4355.17 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-25 09:31:00 | 类型: 卖出 | 价格: 14.66 | 数量: 300 | 成交额: 4398.72 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.59
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 14.52 | 数量: 300 | 成交额: 4354.73 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-25 09:31:00 | 类型: 卖出 | 价格: 14.66 | 数量: 300 | 成交额: 4398.28 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.59
交易时间: 2025-02-25 09:31:00 | 类型: 买入 | 价格: 14.51 | 数量: 300 | 成交额: 4354.30 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-25 09:31:00 | 类型: 卖出 | 价格: 14.66 | 数量: 300 | 成交额: 4397.84 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.59
